"Game","Map","Outcome","Event","Player_Team","Action","Player","Concat1","Role1","Concat","Role","Game_Feed","Getting_Voted_Off","Getting_Killed","Game_Player_That_Died","Day","Dying_Feed","Killing_Feed","Finding_Bodies_Feed","Body_Found_Feed","Meeting_Called_Feed","First_Kill_Feed","Self_Report_Code","Self_Report_Feed","Voted_Off_As_Crew_Feed","Body_Skipped_Feed","Votes_Off_Code","Vote_ID","Day_1_Vote","Crew_Alive","Impostors_Alive","Score","Crew_1","Is_Crew_1_Alive_1","Vote1","Crew_2","Is_Crew_1_Alive_2","Vote2","Crew_3","Is_Crew_3_Alive","Vote3","Crew_4","Is_Crew_4_Alive?","Vote4","Crew_5","Is_Crew_5_alive?","Vote5","Crew_6","Is_Crew_6_Alive?","Vote6","Crew_7","Is_Crew_7_Alive?","Vote7","Crew_8","Is_Crew_8_Alive?","Vote8"
74,"Polus",NA,7,"Crew","skips voting.",NA,"74-Crew",NA,"74-",NA,"Crew skips voting.",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"5-2","Andrew","Yes",NA,"Memes","No",NA,"LadyAtarka","No",NA,"Pojo","Yes",NA,"Sam","Yes",NA,"zlubars","Yes",NA,"Keaton","Yes",NA,"Barnabus","No",NA
74,"Polus",NA,8,"Mani","calls an emergency meeting.",NA,"74-Mani","(Impostor)","74-",NA,"Mani (Impostor) calls an emergency meeting.",NA,NA,NA,3,NA,NA,NA,NA,"Mani",NA,NA,NA,NA,NA,1,"74-3","Crew voted off.",5,2,"5-2","Andrew","Yes","3-Andrew-Crew voted off.","Memes","No","3-Memes-Dead","LadyAtarka","No","3-LadyAtarka-Dead","Pojo","Yes","3-Pojo-Crew voted off.","Sam","Yes","3-Sam-Crew voted off.","zlubars","Yes","3-zlubars-Crew voted off.","Keaton","Yes","3-Keaton-Crew voted off.","Barnabus","No","3-Barnabus-Dead"
74,"Polus",NA,9,"Crew","votes off","Pojo","74-Crew",NA,"74-Pojo","(Crew).","Crew votes off Pojo (Crew).","Pojo",NA,"74-Pojo",3,"Pojo",NA,NA,NA,NA,NA,NA,NA,"Pojo",NA,NA,NA,NA,4,2,"4-2","Andrew","Yes",NA,"Memes","No",NA,"LadyAtarka","No",NA,"Pojo","Yes",NA,"Sam","Yes",NA,"zlubars","Yes",NA,"Keaton","Yes",NA,"Barnabus","No",NA
74,"Polus",NA,10,"wrapter","kills","Keaton","74-wrapter","(Impostor)","74-Keaton","(Crew).","wrapter (Impostor) kills Keaton (Crew).",NA,"Keaton","74-Keaton",4,"Keaton","wrapter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"4-2","Andrew","Yes",NA,"Memes","No",NA,"LadyAtarka","No",NA,"Pojo","No",NA,"Sam","Yes",NA,"zlubars","Yes",NA,"Keaton","Yes",NA,"Barnabus","No",NA
74,"Polus",NA,11,"Mani","kills","zlubars","74-Mani","(Impostor)","74-zlubars","(Crew).","Mani (Impostor) kills zlubars (Crew).",NA,"zlubars","74-zlubars",4,"zlubars","Mani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"3-2","Andrew","Yes",NA,"Memes","No",NA,"LadyAtarka","No",NA,"Pojo","No",NA,"Sam","Yes",NA,"zlubars","Yes",NA,"Keaton","No",NA,"Barnabus","No",NA
74,"Polus","74-End",12,NA,"Impostor Win - Kills",NA,"74-",NA,"74-",NA,"Impostor Win - Kills",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"2-2","Andrew","Yes",NA,"Memes","No",NA,"LadyAtarka","No",NA,"Pojo","No",NA,"Sam","Yes",NA,"zlubars","No",NA,"Keaton","No",NA,"Barnabus","No",NA
75,"Polus",NA,1,"wrapter","kills","ScaldingHotSoup","75-wrapter","(Impostor)","75-ScaldingHotSoup","(Crew).","wrapter (Impostor) kills ScaldingHotSoup (Crew).",NA,"ScaldingHotSoup","75-ScaldingHotSoup",1,"ScaldingHotSoup","wrapter",NA,NA,NA,"ScaldingHotSoup",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","ScaldingHotSoup","Yes",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","Yes",NA
75,"Polus",NA,2,"Sam","finds body of","ScaldingHotSoup","75-Sam","(Crew)","75-ScaldingHotSoup","(Crew).","Sam (Crew) finds body of ScaldingHotSoup (Crew).",NA,NA,NA,1,NA,NA,"Sam","ScaldingHotSoup",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"75-1","Skipped Vote.",7,2,"7-2","ScaldingHotSoup","No","1-ScaldingHotSoup-Dead","Barnabus","Yes","1-Barnabus-Skipped Vote.","Ian","Yes","1-Ian-Skipped Vote.","Keaton","Yes","1-Keaton-Skipped Vote.","Pojo","Yes","1-Pojo-Skipped Vote.","Pheylop","Yes","1-Pheylop-Skipped Vote.","LadyAtarka","Yes","1-LadyAtarka-Skipped Vote.","Sam","Yes","1-Sam-Skipped Vote."
75,"Polus",NA,3,"Crew","skips voting.",NA,"75-Crew",NA,"75-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","ScaldingHotSoup","No",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","Yes",NA
75,"Polus",NA,4,"Memes","kills","Sam","75-Memes","(Impostor)","75-Sam","(Crew).","Memes (Impostor) kills Sam (Crew).",NA,"Sam","75-Sam",2,"Sam","Memes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","ScaldingHotSoup","No",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","Yes",NA
75,"Polus",NA,5,"Ian","finds body of","Sam","75-Ian","(Crew)","75-Sam","(Crew).","Ian (Crew) finds body of Sam (Crew).",NA,NA,NA,2,NA,NA,"Ian","Sam",NA,NA,NA,NA,NA,NA,2,"75-2","Impostor voted off.",6,2,"6-2","ScaldingHotSoup","No","2-ScaldingHotSoup-Dead","Barnabus","Yes","2-Barnabus-Impostor voted off.","Ian","Yes","2-Ian-Impostor voted off.","Keaton","Yes","2-Keaton-Impostor voted off.","Pojo","Yes","2-Pojo-Impostor voted off.","Pheylop","Yes","2-Pheylop-Impostor voted off.","LadyAtarka","Yes","2-LadyAtarka-Impostor voted off.","Sam","No","2-Sam-Dead"
75,"Polus",NA,6,"Crew","votes off","Memes","75-Crew",NA,"75-Memes","(Impostor).","Crew votes off Memes (Impostor).","Memes",NA,"75-Memes",2,"Memes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","ScaldingHotSoup","No",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","No",NA
75,"Polus",NA,7,"Pheylop","calls an emergency meeting.",NA,"75-Pheylop","(Crew)","75-",NA,"Pheylop (Crew) calls an emergency meeting.",NA,NA,NA,3,NA,NA,NA,NA,"Pheylop",NA,NA,NA,NA,"Skipped - Meeting Called",0,"75-3","Skipped Vote.",6,1,"6-1","ScaldingHotSoup","No","3-ScaldingHotSoup-Dead","Barnabus","Yes","3-Barnabus-Skipped Vote.","Ian","Yes","3-Ian-Skipped Vote.","Keaton","Yes","3-Keaton-Skipped Vote.","Pojo","Yes","3-Pojo-Skipped Vote.","Pheylop","Yes","3-Pheylop-Skipped Vote.","LadyAtarka","Yes","3-LadyAtarka-Skipped Vote.","Sam","No","3-Sam-Dead"
75,"Polus",NA,8,"Crew","skips voting.",NA,"75-Crew",NA,"75-",NA,"Crew skips voting.",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"6-1","ScaldingHotSoup","No",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","No",NA
75,"Polus","75-End",9,NA,"Crew Win - Tasks",NA,"75-",NA,"75-",NA,"Crew Win - Tasks",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"6-1","ScaldingHotSoup","No",NA,"Barnabus","Yes",NA,"Ian","Yes",NA,"Keaton","Yes",NA,"Pojo","Yes",NA,"Pheylop","Yes",NA,"LadyAtarka","Yes",NA,"Sam","No",NA
76,"The Skeld",NA,1,"Rada","kills","Sam","76-Rada","(Impostor)","76-Sam","(Crew).","Rada (Impostor) kills Sam (Crew).",NA,"Sam","76-Sam",1,"Sam","Rada",NA,NA,NA,"Sam",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","dcsports8","Yes",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","Yes",NA,"Corey","Yes",NA
76,"The Skeld",NA,2,"dcsports8","finds body of","Sam","76-dcsports8","(Crew)","76-Sam","(Crew).","dcsports8 (Crew) finds body of Sam (Crew).",NA,NA,NA,1,NA,NA,"dcsports8","Sam",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"76-1","Skipped Vote.",7,2,"7-2","dcsports8","Yes","1-dcsports8-Skipped Vote.","Ian","Yes","1-Ian-Skipped Vote.","bsweitz","Yes","1-bsweitz-Skipped Vote.","Emily","Yes","1-Emily-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote.","Dreamy","Yes","1-Dreamy-Skipped Vote.","Sam","No","1-Sam-Dead","Corey","Yes","1-Corey-Skipped Vote."
76,"The Skeld",NA,3,"Crew","skips voting.",NA,"76-Crew",NA,"76-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","dcsports8","Yes",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","Yes",NA
76,"The Skeld",NA,4,"Rada","kills","Corey","76-Rada","(Impostor)","76-Corey","(Crew).","Rada (Impostor) kills Corey (Crew).",NA,"Corey","76-Corey",2,"Corey","Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","dcsports8","Yes",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","Yes",NA
76,"The Skeld",NA,5,"Ian","finds body of","Corey","76-Ian","(Crew)","76-Corey","(Crew).","Ian (Crew) finds body of Corey (Crew).",NA,NA,NA,2,NA,NA,"Ian","Corey",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"76-2","Skipped Vote.",6,2,"6-2","dcsports8","Yes","2-dcsports8-Skipped Vote.","Ian","Yes","2-Ian-Skipped Vote.","bsweitz","Yes","2-bsweitz-Skipped Vote.","Emily","Yes","2-Emily-Skipped Vote.","dokomoy","Yes","2-dokomoy-Skipped Vote.","Dreamy","Yes","2-Dreamy-Skipped Vote.","Sam","No","2-Sam-Dead","Corey","No","2-Corey-Dead"
76,"The Skeld",NA,6,"Crew","skips voting.",NA,"76-Crew",NA,"76-",NA,"Crew skips voting.",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","dcsports8","Yes",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,7,"bsweitz","calls an emergency meeting.",NA,"76-bsweitz","(Crew)","76-",NA,"bsweitz (Crew) calls an emergency meeting.",NA,NA,NA,3,NA,NA,NA,NA,"bsweitz",NA,NA,NA,NA,NA,1,"76-3","Crew voted off.",6,2,"6-2","dcsports8","Yes","3-dcsports8-Crew voted off.","Ian","Yes","3-Ian-Crew voted off.","bsweitz","Yes","3-bsweitz-Crew voted off.","Emily","Yes","3-Emily-Crew voted off.","dokomoy","Yes","3-dokomoy-Crew voted off.","Dreamy","Yes","3-Dreamy-Crew voted off.","Sam","No","3-Sam-Dead","Corey","No","3-Corey-Dead"
76,"The Skeld",NA,8,"Crew","votes off","dcsports8","76-Crew",NA,"76-dcsports8","(Crew).","Crew votes off dcsports8 (Crew).","dcsports8",NA,"76-dcsports8",3,"dcsports8",NA,NA,NA,NA,NA,NA,NA,"dcsports8",NA,NA,NA,NA,5,2,"5-2","dcsports8","Yes",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,9,"Rada","kills","dokomoy","76-Rada","(Impostor)","76-dokomoy","(Crew).","Rada (Impostor) kills dokomoy (Crew).",NA,"dokomoy","76-dokomoy",4,"dokomoy","Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"5-2","dcsports8","No",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,10,"Dreamy","finds body of","dokomoy","76-Dreamy","(Crew)","76-dokomoy","(Crew).","Dreamy (Crew) finds body of dokomoy (Crew).",NA,NA,NA,4,NA,NA,"Dreamy","dokomoy",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"76-4","Skipped Vote.",4,2,"4-2","dcsports8","No","4-dcsports8-Dead","Ian","Yes","4-Ian-Skipped Vote.","bsweitz","Yes","4-bsweitz-Skipped Vote.","Emily","Yes","4-Emily-Skipped Vote.","dokomoy","No","4-dokomoy-Dead","Dreamy","Yes","4-Dreamy-Skipped Vote.","Sam","No","4-Sam-Dead","Corey","No","4-Corey-Dead"
76,"The Skeld",NA,11,"Crew","skips voting.",NA,"76-Crew",NA,"76-",NA,"Crew skips voting.",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"4-2","dcsports8","No",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,12,"Stunlock","kills","Ian","76-Stunlock","(Impostor)","76-Ian","(Crew).","Stunlock (Impostor) kills Ian (Crew).",NA,"Ian","76-Ian",5,"Ian","Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"4-2","dcsports8","No",NA,"Ian","Yes",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,13,"Rada","finds body of","Ian","76-Rada","(Impostor)","76-Ian","(Crew).","Rada (Impostor) finds body of Ian (Crew).",NA,NA,NA,5,NA,NA,"Rada","Ian",NA,NA,1,"Co-Impostor report",NA,NA,2,"76-5","Impostor voted off.",3,2,"3-2","dcsports8","No","5-dcsports8-Dead","Ian","No","5-Ian-Dead","bsweitz","Yes","5-bsweitz-Impostor voted off.","Emily","Yes","5-Emily-Impostor voted off.","dokomoy","No","5-dokomoy-Dead","Dreamy","Yes","5-Dreamy-Impostor voted off.","Sam","No","5-Sam-Dead","Corey","No","5-Corey-Dead"
76,"The Skeld",NA,14,"Crew","votes off","Rada","76-Crew",NA,"76-Rada","(Impostor).","Crew votes off Rada (Impostor).","Rada",NA,"76-Rada",5,"Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"3-2","dcsports8","No",NA,"Ian","No",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,15,"Stunlock","kills","bsweitz","76-Stunlock","(Impostor)","76-bsweitz","(Crew).","Stunlock (Impostor) kills bsweitz (Crew).",NA,"bsweitz","76-bsweitz",6,"bsweitz","Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"3-1","dcsports8","No",NA,"Ian","No",NA,"bsweitz","Yes",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld",NA,16,"Dreamy","finds body of","bsweitz","76-Dreamy","(Crew)","76-bsweitz","(Crew).","Dreamy (Crew) finds body of bsweitz (Crew).",NA,NA,NA,6,NA,NA,"Dreamy","bsweitz",NA,NA,NA,NA,NA,NA,2,"76-6","Impostor voted off.",2,1,"2-1","dcsports8","No","6-dcsports8-Dead","Ian","No","6-Ian-Dead","bsweitz","No","6-bsweitz-Dead","Emily","Yes","6-Emily-Impostor voted off.","dokomoy","No","6-dokomoy-Dead","Dreamy","Yes","6-Dreamy-Impostor voted off.","Sam","No","6-Sam-Dead","Corey","No","6-Corey-Dead"
76,"The Skeld",NA,17,"Crew","votes off","Stunlock","76-Crew",NA,"76-Stunlock","(Impostor).","Crew votes off Stunlock (Impostor).","Stunlock",NA,"76-Stunlock",6,"Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"2-1","dcsports8","No",NA,"Ian","No",NA,"bsweitz","No",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
76,"The Skeld","76-End",18,NA,"Crew Win - Voting",NA,"76-",NA,"76-",NA,"Crew Win - Voting",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"2-0","dcsports8","No",NA,"Ian","No",NA,"bsweitz","No",NA,"Emily","Yes",NA,"dokomoy","No",NA,"Dreamy","Yes",NA,"Sam","No",NA,"Corey","No",NA
77,"The Skeld",NA,1,"Stunlock","kills","LSV","77-Stunlock","(Impostor)","77-LSV","(Crew).","Stunlock (Impostor) kills LSV (Crew).",NA,"LSV","77-LSV",1,"LSV","Stunlock",NA,NA,NA,"LSV",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","Ian","Yes",NA,"Corey","Yes",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","Yes",NA,"LSV","Yes",NA
77,"The Skeld",NA,2,"Rada","kills","Emily","77-Rada","(Impostor)","77-Emily","(Crew).","Rada (Impostor) kills Emily (Crew).",NA,"Emily","77-Emily",1,"Emily","Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","Ian","Yes",NA,"Corey","Yes",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","Yes",NA,"LSV","No",NA
77,"The Skeld",NA,3,"Stunlock","finds body of","Emily","77-Stunlock","(Impostor)","77-Emily","(Crew).","Stunlock (Impostor) finds body of Emily (Crew).",NA,NA,NA,1,NA,NA,"Stunlock","Emily",NA,NA,1,"Co-Impostor report",NA,"Skipped - Body Found",0,"77-1","Skipped Vote.",6,2,"6-2","Ian","Yes","1-Ian-Skipped Vote.","Corey","Yes","1-Corey-Skipped Vote.","bsweitz","Yes","1-bsweitz-Skipped Vote.","Dreamy","Yes","1-Dreamy-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote.","Sam","Yes","1-Sam-Skipped Vote.","Emily","No","1-Emily-Dead","LSV","No","1-LSV-Dead"
77,"The Skeld",NA,4,"Crew","skips voting.",NA,"77-Crew",NA,"77-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","Ian","Yes",NA,"Corey","Yes",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,5,"Stunlock","kills","Ian","77-Stunlock","(Impostor)","77-Ian","(Crew).","Stunlock (Impostor) kills Ian (Crew).",NA,"Ian","77-Ian",2,"Ian","Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","Ian","Yes",NA,"Corey","Yes",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,6,"Rada","kills","Corey","77-Rada","(Impostor)","77-Corey","(Crew).","Rada (Impostor) kills Corey (Crew).",NA,"Corey","77-Corey",2,"Corey","Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"5-2","Ian","No",NA,"Corey","Yes",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,7,"Sam","finds body of","Corey","77-Sam","(Crew)","77-Corey","(Crew).","Sam (Crew) finds body of Corey (Crew).",NA,NA,NA,2,NA,NA,"Sam","Corey",NA,NA,NA,NA,NA,NA,2,"77-2","Impostor voted off.",4,2,"4-2","Ian","No","2-Ian-Dead","Corey","No","2-Corey-Dead","bsweitz","Yes","2-bsweitz-Impostor voted off.","Dreamy","Yes","2-Dreamy-Impostor voted off.","dokomoy","Yes","2-dokomoy-Impostor voted off.","Sam","Yes","2-Sam-Impostor voted off.","Emily","No","2-Emily-Dead","LSV","No","2-LSV-Dead"
77,"The Skeld",NA,8,"Crew","votes off","Stunlock","77-Crew",NA,"77-Stunlock","(Impostor).","Crew votes off Stunlock (Impostor).","Stunlock",NA,"77-Stunlock",2,"Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"4-2","Ian","No",NA,"Corey","No",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,9,"bsweitz","calls an emergency meeting.",NA,"77-bsweitz","(Crew)","77-",NA,"bsweitz (Crew) calls an emergency meeting.",NA,NA,NA,3,NA,NA,NA,NA,"bsweitz",NA,NA,NA,NA,"Skipped - Meeting Called",0,"77-3","Skipped Vote.",4,1,"4-1","Ian","No","3-Ian-Dead","Corey","No","3-Corey-Dead","bsweitz","Yes","3-bsweitz-Skipped Vote.","Dreamy","Yes","3-Dreamy-Skipped Vote.","dokomoy","Yes","3-dokomoy-Skipped Vote.","Sam","Yes","3-Sam-Skipped Vote.","Emily","No","3-Emily-Dead","LSV","No","3-LSV-Dead"
77,"The Skeld",NA,10,"Crew","skips voting.",NA,"77-Crew",NA,"77-",NA,"Crew skips voting.",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"4-1","Ian","No",NA,"Corey","No",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,11,"Rada","kills","Sam","77-Rada","(Impostor)","77-Sam","(Crew).","Rada (Impostor) kills Sam (Crew).",NA,"Sam","77-Sam",4,"Sam","Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"4-1","Ian","No",NA,"Corey","No",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","Yes",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld",NA,12,"bsweitz","finds body of","Sam","77-bsweitz","(Crew)","77-Sam","(Crew).","bsweitz (Crew) finds body of Sam (Crew).",NA,NA,NA,4,NA,NA,"bsweitz","Sam",NA,NA,NA,NA,NA,NA,2,"77-4","Impostor voted off.",3,1,"3-1","Ian","No","4-Ian-Dead","Corey","No","4-Corey-Dead","bsweitz","Yes","4-bsweitz-Impostor voted off.","Dreamy","Yes","4-Dreamy-Impostor voted off.","dokomoy","Yes","4-dokomoy-Impostor voted off.","Sam","No","4-Sam-Dead","Emily","No","4-Emily-Dead","LSV","No","4-LSV-Dead"
77,"The Skeld",NA,13,"Crew","votes off","Rada","77-Crew",NA,"77-Rada","(Impostor).","Crew votes off Rada (Impostor).","Rada",NA,"77-Rada",4,"Rada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"3-1","Ian","No",NA,"Corey","No",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","No",NA,"Emily","No",NA,"LSV","No",NA
77,"The Skeld","77-End",14,NA,"Crew Win - Voting",NA,"77-",NA,"77-",NA,"Crew Win - Voting",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,"3-0","Ian","No",NA,"Corey","No",NA,"bsweitz","Yes",NA,"Dreamy","Yes",NA,"dokomoy","Yes",NA,"Sam","No",NA,"Emily","No",NA,"LSV","No",NA
78,"The Skeld",NA,1,"Sam","kills","Rada","78-Sam","(Impostor)","78-Rada","(Crew).","Sam (Impostor) kills Rada (Crew).",NA,"Rada","78-Rada",1,"Rada","Sam",NA,NA,NA,"Rada",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","Dreamy","Yes",NA,"LSV","Yes",NA,"Barnabus","Yes",NA,"Rada","Yes",NA,"Ian","Yes",NA,"Corey","Yes",NA,"dokomoy","Yes",NA,"bsweitz","Yes",NA
78,"The Skeld",NA,2,"Stunlock","kills","bsweitz","78-Stunlock","(Impostor)","78-bsweitz","(Crew).","Stunlock (Impostor) kills bsweitz (Crew).",NA,"bsweitz","78-bsweitz",1,"bsweitz","Stunlock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","Dreamy","Yes",NA,"LSV","Yes",NA,"Barnabus","Yes",NA,"Rada","No",NA,"Ian","Yes",NA,"Corey","Yes",NA,"dokomoy","Yes",NA,"bsweitz","Yes",NA
78,"The Skeld",NA,3,"Barnabus","finds body of","Rada","78-Barnabus","(Crew)","78-Rada","(Crew).","Barnabus (Crew) finds body of Rada (Crew).",NA,NA,NA,1,NA,NA,"Barnabus","Rada",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"78-1","Skipped Vote.",6,2,"6-2","Dreamy","Yes","1-Dreamy-Skipped Vote.","LSV","Yes","1-LSV-Skipped Vote.","Barnabus","Yes","1-Barnabus-Skipped Vote.","Rada","No","1-Rada-Dead","Ian","Yes","1-Ian-Skipped Vote.","Corey","Yes","1-Corey-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote.","bsweitz","No","1-bsweitz-Dead"
78,"The Skeld",NA,4,"Crew","skips voting.",NA,"78-Crew",NA,"78-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","Dreamy","Yes",NA,"LSV","Yes",NA,"Barnabus","Yes",NA,"Rada","No",NA,"Ian","Yes",NA,"Corey","Yes",NA,"dokomoy","Yes",NA,"bsweitz","No",NA
